State,Year,Month,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
Virginia,2005,6,0.0357163220338983,0.05143220338983051,10.211864406779661,59.80508474576271,0.4309322118644068,0.502542372881356,5.338983050847458,5.830508474576271,2.8741570084745764,8.923728813559322,10.466101694915254,12.64406779661017,12.477354296610171,23.728813559322035,10.677966101694915,22.406779661016948
Virginia,2005,7,0.036302112903225804,0.055693548387096774,10.096774193548388,64.95967741935483,0.5361401048387097,0.6419354838709677,6.274193548387097,7.370967741935484,3.3669784677419354,13.266129032258064,9.5,18.54032258064516,13.172083137096774,26.862903225806452,11.21774193548387,25.346774193548388
Virginia,2005,8,0.036893681034482755,0.05496551724137931,10.318965517241379,68.48275862068965,0.47672410344827587,0.5594827586206897,6.025862068965517,6.405172413793103,3.7039829137931033,12.637931034482758,11.344827586206897,17.93103448275862,13.189107612068964,26.25,9.431034482758621,24.767241379310345
Virginia,2005,9,0.032827201754385964,0.050868421052631584,10.412280701754385,57.12280701754386,0.5420679561403509,0.6482456140350877,6.9035087719298245,7.473684210526316,3.866009,10.868421052631579,9.982456140350877,15.535087719298245,14.608918666666666,31.31578947368421,12.508771929824562,29.62280701754386
Virginia,2005,10,0.014802033707865163,0.024089887640449434,11.067415730337078,22.98876404494382,0.5605337191011236,0.6719101123595506,7.752808988764045,7.651685393258427,4.700567764044944,10.539325842696629,10.932584269662922,15.067415730337078,12.387722921348315,21.84269662921348,12.382022471910112,20.528089887640448
Virginia,2005,11,0.017243866666666666,0.026266666666666664,11.822222222222223,24.366666666666667,0.5877777666666667,0.8055555555555556,8.11111111111111,9.2,5.416227433333333,11.88888888888889,12.311111111111112,16.733333333333334,16.54564118888889,29.6,13.377777777777778,27.92222222222222
Virginia,2005,12,0.010302144444444446,0.016188888888888888,10.377777777777778,15.0,0.6009876666666667,0.7655555555555557,8.28888888888889,8.744444444444444,7.644914733333334,14.855555555555556,11.311111111111112,21.211111111111112,18.810085644444445,30.011111111111113,11.966666666666667,28.322222222222223
Virginia,2006,1,0.015085838709677413,0.021548387096774188,13.913978494623656,19.913978494623656,0.5283083333333333,0.632258064516129,7.580645161290323,7.333333333333333,4.833935419354838,10.03225806451613,10.96774193548387,14.344086021505376,14.308169311827957,25.49462365591398,12.075268817204302,24.06451612903226
Virginia,2006,2,0.02086408108108108,0.029054054054054052,11.675675675675675,26.93243243243243,0.5604669864864864,0.6635135135135135,7.635135135135135,7.5675675675675675,4.821446972972973,9.58108108108108,11.35135135135135,13.635135135135135,15.156082027027027,28.7027027027027,11.675675675675675,27.094594594594593
Virginia,2006,3,0.032425677419354836,0.04106451612903226,11.118279569892474,39.225806451612904,0.5675029462365592,0.6301075268817204,4.32258064516129,7.247311827956989,5.587698537634409,12.279569892473118,11.225806451612904,17.526881720430108,12.90534123655914,25.602150537634408,10.32258064516129,24.150537634408604
Virginia,2006,4,0.034521944444444445,0.045877777777777774,10.866666666666667,45.544444444444444,0.4831018555555555,0.57,6.522222222222222,6.633333333333334,3.3739771333333333,7.411111111111111,10.377777777777778,10.566666666666666,11.577675322222222,26.477777777777778,11.78888888888889,24.977777777777778
Virginia,2006,5,0.036989271929824555,0.05055263157894737,10.201754385964913,56.75438596491228,0.4401420350877193,0.5236842105263159,6.026315789473684,5.964912280701754,3.246979745614035,8.385964912280702,9.131578947368421,11.973684210526315,12.33554395614035,27.12280701754386,11.052631578947368,25.55263157894737
Virginia,2006,6,0.0395618137254902,0.05523529411764706,10.5,65.72549019607843,0.4540537156862745,0.5235294117647059,4.950980392156863,6.019607843137255,3.185395049019608,8.372549019607844,10.127450980392156,11.96078431372549,11.793503539215687,23.862745098039216,11.872549019607844,22.480392156862745
Virginia,2006,7,0.038802149122807016,0.055070175438596485,10.008771929824562,64.57894736842105,0.4291544649122807,0.4929824561403509,5.035087719298246,5.684210526315789,2.636600236842105,7.2631578947368425,8.81578947368421,10.342105263157896,10.210198701754386,21.63157894736842,10.087719298245615,20.42982456140351
Virginia,2006,8,0.04218268032786885,0.059377049180327865,10.401639344262295,74.37704918032787,0.30169304098360655,0.3778688524590164,5.221311475409836,4.360655737704918,3.2243083032786886,9.762295081967213,10.270491803278688,13.918032786885245,11.162488901639344,26.295081967213115,10.71311475409836,24.795081967213115
Virginia,2006,9,0.023219675,0.03435,11.175,33.05833333333333,0.36494743333333335,0.4583333333333333,7.375,5.325,2.816617866666667,8.266666666666667,11.925,11.816666666666666,12.018925841666666,23.091666666666665,12.108333333333333,21.816666666666666
Virginia,2006,10,0.017997279279279278,0.027684684684684685,11.315315315315315,25.63963963963964,0.4641116306306306,0.5882882882882883,7.621621621621622,6.801801801801802,3.4392166216216213,7.963963963963964,10.36936936936937,11.333333333333334,13.243662675675676,25.126126126126128,12.342342342342342,23.675675675675677
Virginia,2006,11,0.013835255555555549,0.021577777777777772,11.733333333333333,19.944444444444443,0.5725309,0.7111111111111111,6.566666666666666,8.133333333333333,5.370965111111111,12.033333333333333,12.166666666666666,17.177777777777777,15.335125855555557,26.844444444444445,13.244444444444444,25.322222222222223
Virginia,2006,12,0.010834387096774187,0.017881720430107526,11.612903225806452,16.537634408602152,0.6359766666666666,0.8096774193548387,8.827956989247312,9.268817204301076,6.187666032258065,11.591397849462366,9.688172043010752,16.49462365591398,18.55002623655914,30.032258064516128,12.870967741935484,28.387096774193548
Virginia,2007,1,0.015122096774193546,0.021462365591397848,12.333333333333334,19.870967741935484,0.4863138924731183,0.6129032258064516,8.526881720430108,7.032258064516129,4.4460812688172044,8.408602150537634,10.365591397849462,12.021505376344086,13.328082215053763,25.451612903225808,13.150537634408602,23.989247311827956
Virginia,2007,2,0.021029059523809523,0.028666666666666667,11.452380952380953,26.571428571428573,0.5197858452380952,0.6297619047619047,7.095238095238095,7.2976190476190474,5.78306944047619,11.904761904761905,9.5,16.88095238095238,15.433792273809523,29.714285714285715,11.30952380952381,28.0
Virginia,2007,3,0.030720139784946237,0.038548387096774196,12.010752688172044,35.666666666666664,0.7149641505376344,0.7978494623655914,5.623655913978495,9.075268817204302,4.368761225806452,11.924731182795698,11.10752688172043,17.129032258064516,13.562109526881722,28.892473118279568,10.204301075268818,27.301075268817204
Virginia,2007,4,0.03450553982300885,0.04354867256637168,11.5929203539823,43.442477876106196,0.39012694690265487,0.48672566371681414,6.584070796460177,5.592920353982301,2.9767138672566373,7.654867256637168,11.946902654867257,10.867256637168142,12.620564300884956,26.95575221238938,11.079646017699115,25.539823008849556
Virginia,2007,5,0.04133425806451612,0.05481720430107527,10.612903225806452,64.49462365591398,0.5893487096774194,0.6483870967741935,4.43010752688172,7.483870967741935,3.515203924731183,9.35483870967742,11.56989247311828,13.32258064516129,9.41470347311828,22.537634408602152,10.279569892473118,21.21505376344086
Virginia,2007,6,0.040816344444444444,0.05526666666666667,10.322222222222223,65.66666666666667,0.4185648222222222,0.4755555555555555,5.555555555555555,5.5,3.3495846111111116,8.155555555555555,11.133333333333333,11.588888888888889,8.226644633333333,19.0,10.144444444444444,17.877777777777776
Virginia,2007,7,0.04072822807017543,0.05628947368421053,9.885964912280702,63.31578947368421,0.33386074561403506,0.3991228070175439,4.666666666666667,4.684210526315789,2.95934,7.166666666666667,9.37719298245614,10.192982456140351,9.67471710526316,22.105263157894736,11.56140350877193,20.842105263157894
Virginia,2007,8,0.04167645901639344,0.05675409836065573,10.62295081967213,70.90983606557377,0.3492031229508197,0.4131147540983606,5.811475409836065,4.754098360655738,4.391666885245902,12.80327868852459,10.819672131147541,18.28688524590164,11.274716893442623,22.811475409836067,9.40983606557377,21.491803278688526
Virginia,2007,9,0.034752142857142856,0.049741071428571426,10.535714285714286,54.223214285714285,0.36955605357142857,0.4589285714285714,6.017857142857143,5.294642857142857,4.099491535714286,11.973214285714286,12.125,17.053571428571427,12.014161366071429,25.955357142857142,12.642857142857142,24.517857142857142
Virginia,2007,10,0.02393074193548387,0.0355241935483871,10.241935483870968,33.78225806451613,0.3143640564516129,0.40725806451612906,6.282258064516129,4.67741935483871,2.9840272096774196,8.951612903225806,10.241935483870968,12.741935483870968,12.563603217741935,25.79032258064516,13.403225806451612,24.379032258064516
Virginia,2007,11,0.020827499999999985,0.029333333333333333,9.166666666666666,27.333333333333332,0.786111,0.9166666666666666,9.666666666666666,10.5,5.826388833333333,15.333333333333334,12.5,21.833333333333332,15.249999833333334,29.166666666666668,14.5,27.5
Virginia,2008,3,0.009,0.009,22.0,8.5,0.4895835,0.625,16.0,7.25,2.09375,4.5,4.25,6.5,19.63541675,32.25,11.0,30.5
Virginia,2008,4,0.03335643518518518,0.04371296296296296,11.851851851851851,44.53703703703704,0.44967851851851853,0.5351851851851852,6.064814814814815,6.25,3.386200462962963,8.481481481481481,10.444444444444445,12.13888888888889,12.560157277777778,27.712962962962962,11.12962962962963,26.23148148148148
Virginia,2008,5,0.03602930107526881,0.04619354838709678,11.182795698924732,46.655913978494624,0.2984958817204301,0.3666666666666667,6.043010752688172,4.204301075268817,2.955359086021505,5.978494623655914,9.698924731182796,8.559139784946236,9.00182552688172,20.956989247311828,10.634408602150538,19.72043010752688
Virginia,2008,6,0.03841233962264151,0.0549811320754717,9.584905660377359,61.424528301886795,0.31055586792452833,0.39999999999999997,5.018867924528302,4.69811320754717,2.7387213396226415,6.632075471698113,9.30188679245283,9.433962264150944,8.607808490566038,20.5188679245283,10.066037735849056,19.358490566037737
Virginia,2008,7,0.04191065289256198,0.05742148760330578,10.305785123966942,67.11570247933884,0.2936983553719008,0.3528925619834711,4.347107438016529,4.033057851239669,3.0631559834710744,8.082644628099173,9.347107438016529,11.512396694214877,8.253329495867769,20.074380165289256,9.347107438016529,18.958677685950413
Virginia,2008,8,0.03417853719008264,0.048347107438016526,10.090909090909092,48.396694214876035,0.2624823140495868,0.3322314049586777,5.297520661157025,3.834710743801653,3.2250273719008264,9.132231404958677,10.62809917355372,13.024793388429751,8.98701355371901,22.801652892561982,11.438016528925619,21.50413223140496
Virginia,2008,9,0.027272352380952377,0.03960952380952381,10.657142857142857,39.97142857142857,0.31831216190476186,0.4,5.219047619047619,4.533333333333333,3.0308260000000002,8.561904761904762,10.942857142857143,12.17142857142857,9.535435352380953,21.504761904761907,12.39047619047619,20.314285714285713
Virginia,2008,10,0.018383478260869567,0.02866086956521739,10.330434782608696,26.47826086956522,0.356102747826087,0.471304347826087,7.191304347826087,5.391304347826087,2.296139704347826,5.182608695652174,9.904347826086957,7.304347826086956,10.99464104347826,22.730434782608697,12.782608695652174,21.391304347826086
Virginia,2008,11,0.015870577777777773,0.022466666666666666,10.588888888888889,20.788888888888888,0.40950614444444444,0.52,6.366666666666666,5.855555555555555,3.7381221555555557,7.566666666666666,9.3,10.755555555555556,11.102908211111112,21.666666666666668,11.166666666666666,20.433333333333334
Virginia,2008,12,0.01447937634408602,0.019763440860215052,11.301075268817204,18.35483870967742,0.48046590322580646,0.6064516129032258,6.978494623655914,7.0,2.744234053763441,6.89247311827957,9.623655913978494,9.817204301075268,10.95811906451613,21.333333333333332,10.946236559139784,20.150537634408604
